Incident energy, first deposit (MeV), second deposit (MeV), front detector, back detector 
69.5645260087365, 46.24906, 22.6457, 4, 2
244.0625060863033, 0.160084, 0.0276761, 4, 4
251.88937844150269, 1.68552, 4.353434, 1, 1
252.92543636453206, 0.9707020000000001, 3.599647, 1, 2
251.3099139287781, 2.537781, 3.3147360999999997, 1, 4
247.9924198238898, 1.86256, 0.6347440000000001, 2, 1
252.82376598585893, 0.0362754, 3.681744, 2, 3
242.02790963794064, 3.1077440000000003, 3.778528, 2, 4
255.08332674390886, 0.4428261, 4.0208923, 3, 1
403.7814481075354, 0.0905064, 4.0208923, 3, 1
253.60497660559713, 1.3647141999999999, 3.588297, 3, 2
256.08290398833674, 0.233982, 4.4344344, 4, 2
251.2692959293811, 1.7105259999999998, 3.446588, 1, 1
255.27513888798512, 0.3814818, 0.121284, 1, 1
249.54713843484114, 1.0066057, 3.541013, 1, 2
34.67319629811425, 22.804389999999998, 10.49526512, 1, 3
248.97470379150968, 0.441131, 3.48494, 2, 2
254.34075095672438, 0.7192350000000001, 3.892892, 2, 2
249.65604086876124, 1.6745915999999998, 3.3012398999999997, 2, 3
247.61750414965263, 0.72754, 3.26565, 3, 1
250.9255785583748, 2.4337124, 4.0876546, 4, 1
248.50456605815702, 2.79236, 3.4232940000000003, 4, 2
248.4213828311681, 2.1841443, 0.174531, 4, 4
